Trang,Địa chỉ,Diện tích (m2),Phòng ngủ,WC,Giá
9,phuong tan dinh,100,5,5,0
8,phuong tan dinh,40,3,3,14
91,phuong tan dinh,64,1,1,27
30,phuong cau ong lanh,52,3,3,30
6,phuong co giang,54,4,4,35
94,phuong pham ngu lao,56,6,6,35
23,phuong co giang,45,3,2,36
69,phuong nguyen cu trinh,33,1,1,37
71,phuong nguyen cu trinh,40,2,2,37
9,phuong da kao,80,3,2,40
8,phuong nguyen cu trinh,262,4,2,42
68,phuong ben nghe,40,4,4,48
6,phuong cau kho,80,10,10,48
52,phuong ben nghe,80,8,5,56
57,phuong ben thanh,100,3,3,60
94,phuong da kao,110,2,3,60
60,phuong tan dinh,80,1,1,70
3,phuong ben nghe,170,3,3,80
29,phuong nguyen cu trinh,97,3,2,80
27,phuong nguyen thai binh,90,6,4,80
35,phuong nguyen cu trinh,100,11,5,90
4,phuong nguyen cu trinh,120,1,5,100
83,phuong tan dinh,226,5,5,100
69,phuong da kao,156,9,9,120
57,phuong pham ngu lao,57,4,2,131
63,phuong tan dinh,187,7,7,140
58,phuong ben nghe,160,2,2,150
33,phuong da kao,270,3,3,150
3,phuong cau ong lanh,165,1,2,190
66,phuong ben thanh,139,55,55,200
13,phuong nguyen thai binh,360,3,3,220
51,phuong da kao,825,11,11,500
5,phuong ben thanh,60,2,1,600
85,phuong tan dinh,52,3,2,860
28,phuong co giang,50,2,2,890
87,phuong tan dinh,52,2,2,930
79,phuong co giang,47,2,3,932
22,phuong co giang,51,3,2,960
36,phuong cau ong lanh,41,4,5,965
22,phuong co giang,50,2,2,990
22,phuong co giang,50,2,2,999
61,phuong tan dinh,2157,1,1,1000
81,phuong co giang,60,2,2,1072
15,phuong cau ong lanh,40,2,1,1200
46,phuong nguyen cu trinh,60,3,2,1200
3,phuong tan dinh,45,3,2,1235
25,phuong nguyen cu trinh,69,3,3,1250
34,phuong co giang,65,3,3,1290
34,phuong co giang,60,3,3,1290
10,phuong cau kho,60,3,2,1300
7,phuong cau kho,14,1,1,1300
45,phuong nguyen cu trinh,60,4,3,1300
27,phuong nguyen cu trinh,58,2,2,1370
56,phuong nguyen cu trinh,60,3,2,1380
27,phuong nguyen cu trinh,42,2,2,1390
65,phuong nguyen cu trinh,69,3,3,1390
65,phuong nguyen cu trinh,65,3,3,1390
74,phuong tan dinh,72,3,2,1400
13,phuong cau kho,55,3,2,1430
6,phuong cau kho,110,2,3,1430
13,phuong cau kho,55,3,2,1435
20,phuong pham ngu lao,56,2,3,1480
15,phuong cau ong lanh,60,2,1,1500
14,phuong nguyen thai binh,111,2,3,1510
31,phuong cau ong lanh,15,2,2,1550
46,phuong cau kho,40,2,2,1600
13,phuong co giang,73,3,3,1620
13,phuong co giang,63,2,2,1650
56,phuong nguyen cu trinh,75,3,2,1650
23,phuong pham ngu lao,53,3,2,1663
48,phuong tan dinh,64,3,2,1670
8,phuong cau ong lanh,54,3,3,1678
53,phuong tan dinh,48,2,2,1690
7,phuong cau kho,60,2,3,1700
26,phuong ben nghe,46,2,2,1720
23,phuong ben nghe,47,2,2,1720
23,phuong ben nghe,46,2,2,1720
62,phuong tan dinh,54,3,3,1740
22,phuong pham ngu lao,44,3,3,1742
27,phuong co giang,60,3,2,1750
23,phuong pham ngu lao,51,4,5,1755
8,phuong cau ong lanh,46,2,2,1766
45,phuong nguyen cu trinh,75,4,4,1800
62,phuong tan dinh,1,4,4,1810
49,phuong da kao,48,2,3,1850
31,phuong nguyen cu trinh,68,4,4,1864
28,phuong co giang,50,2,2,1890
24,phuong nguyen cu trinh,49,2,2,1920
25,phuong nguyen cu trinh,52,2,3,1950
87,phuong nguyen thai binh,30,1,1,1950
24,phuong nguyen cu trinh,56,2,2,1960
6,phuong cau ong lanh,74,3,4,1963
23,phuong ben nghe,52,2,3,1980
58,phuong ben nghe,60,2,1,2000
22,phuong co giang,70,4,4,2000
32,phuong co giang,46,3,2,2000
56,phuong nguyen cu trinh,60,3,2,2123
13,phuong cau kho,60,3,2,2125
27,phuong co giang,60,3,2,2135
28,phuong nguyen cu trinh,74,3,3,2140
56,phuong nguyen cu trinh,75,3,2,2150
30,phuong da kao,52,3,2,2190
16,phuong co giang,49,3,4,2230
69,phuong co giang,22,1,1,2300
47,phuong ben thanh,53,4,4,2340
61,phuong tan dinh,40,2,2,2350
53,phuong tan dinh,73,3,4,2380
56,phuong da kao,52,3,4,2390
52,phuong da kao,63,2,2,2430
6,phuong cau ong lanh,48,3,3,2450
21,phuong ben nghe,50,2,2,2500
45,phuong co giang,10,1,1,2500
38,phuong co giang,10,1,1,2500
12,phuong co giang,68,3,4,2500
81,phuong nguyen cu trinh,10,1,1,2500
24,phuong nguyen cu trinh,56,3,3,2550
6,phuong cau kho,52,2,2,2580
7,phuong da kao,71,6,6,2650
7,phuong tan dinh,55,3,2,2650
39,phuong cau kho,16,2,3,2700
20,phuong cau ong lanh,15,1,1,2700
4,phuong tan dinh,48,2,2,2750
31,phuong cau kho,12,2,3,2790
7,phuong cau ong lanh,62,3,3,2820
6,phuong cau ong lanh,62,3,3,2820
20,phuong cau kho,16,1,1,2850
53,phuong tan dinh,70,4,4,2850
5,phuong nguyen thai binh,71,3,4,2900
57,phuong ben nghe,60,3,2,3000
23,phuong cau kho,10,1,1,3000
41,phuong co giang,10,1,1,3000
75,phuong co giang,180,5,4,3000
8,phuong nguyen cu trinh,81,3,4,3000
36,phuong pham ngu lao,20,2,2,3000
8,phuong ben thanh,30,1,1,3000
6,phuong cau kho,50,3,4,3090
47,phuong cau kho,56,2,2,3100
15,phuong da kao,80,3,3,3100
7,phuong nguyen cu trinh,85,3,4,3100
69,phuong co giang,45,3,3,3200
57,phuong pham ngu lao,26,1,2,3200
29,phuong co giang,55,2,1,3250
20,phuong cau ong lanh,13,1,1,3300
81,phuong co giang,56,2,2,3300
79,phuong nguyen cu trinh,24,1,1,3400
23,phuong pham ngu lao,36,3,3,3420
21,phuong pham ngu lao,51,3,2,3430
16,phuong tan dinh,90,5,6,3450
23,phuong tan dinh,90,5,6,3450
20,phuong pham ngu lao,56,3,3,3480
20,phuong cau ong lanh,13,1,1,3500
79,phuong nguyen cu trinh,16,1,1,3500
21,phuong pham ngu lao,75,2,2,3520
39,phuong co giang,20,1,1,3549
60,phuong tan dinh,78,5,5,3560
19,phuong pham ngu lao,56,3,3,3580
4,phuong co giang,71,3,3,3590
33,phuong co giang,14000,3,3,3600
39,phuong co giang,14,1,1,3600
97,phuong pham ngu lao,13,2,2,3600
81,phuong co giang,55,2,2,3610
18,phuong nguyen cu trinh,24,1,1,3700
27,phuong nguyen cu trinh,72,4,5,3740
24,phuong nguyen cu trinh,72,4,4,3740
46,phuong cau kho,250,2,2,3750
69,phuong co giang,48,2,2,3800
80,phuong co giang,26,2,1,3800
69,phuong co giang,36,3,3,3800
69,phuong co giang,26,2,2,3800
5,phuong nguyen cu trinh,30,2,1,3800
19,phuong cau kho,17,1,1,3900
21,phuong cau ong lanh,19,1,1,3900
6,phuong pham ngu lao,20,3,3,3900
21,phuong cau kho,26,3,2,3950
18,phuong nguyen cu trinh,30,2,2,3950
20,phuong cau kho,12,1,1,4000
21,phuong cau ong lanh,18,1,1,4000
40,phuong co giang,20,1,1,4000
41,phuong co giang,24,1,1,4000
40,phuong co giang,20,1,1,4000
79,phuong nguyen cu trinh,26,1,1,4000
62,phuong nguyen cu trinh,30,2,2,4000
100,phuong pham ngu lao,21,1,2,4000
62,phuong tan dinh,65,4,4,4012
81,phuong nguyen cu trinh,32,1,1,4050
6,phuong cau ong lanh,35,4,3,4150
79,phuong nguyen cu trinh,22,1,1,4350
7,phuong cau kho,29,3,2,4490
20,phuong cau kho,26,1,1,4500
23,phuong cau kho,19,1,1,4500
21,phuong cau kho,18,1,1,4500
9,phuong cau kho,28,2,1,4500
17,phuong co giang,15,1,1,4500
62,phuong co giang,38,3,2,4500
78,phuong nguyen cu trinh,28,1,1,4500
79,phuong nguyen cu trinh,18,1,1,4500
82,phuong nguyen cu trinh,27,1,1,4500
15,phuong da kao,97,5,6,4550
22,phuong cau kho,17,1,1,4600
23,phuong cau kho,39,1,1,4650
42,phuong nguyen cu trinh,32,3,3,4700
100,phuong da kao,48,2,2,4799
13,phuong ben thanh,22,1,1,4800
81,phuong nguyen cu trinh,22,1,1,4800
1,phuong da kao,37,2,2,4800
20,phuong cau kho,24,1,1,4900
34,phuong nguyen cu trinh,36,1,1,4900
27,phuong tan dinh,105,2,1,4900
53,phuong tan dinh,15,2,3,4900
46,phuong cau kho,22,3,3,4950
5,phuong cau kho,30,3,5,5000
23,phuong cau kho,23,1,1,5000
22,phuong cau kho,34,1,1,5000
17,phuong cau ong lanh,25,2,2,5000
38,phuong pham ngu lao,30,3,4,5000
34,phuong nguyen cu trinh,27,1,1,5050
40,phuong co giang,33,1,1,5100
23,phuong cau kho,24,1,1,5200
8,phuong cau kho,24,1,1,5200
22,phuong cau kho,29,1,1,5200
22,phuong cau kho,22,1,1,5200
13,phuong pham ngu lao,25,4,4,5200
91,phuong tan dinh,36,3,3,5200
39,phuong cau kho,36,4,4,5250
54,phuong co giang,10,3,2,5300
22,phuong da kao,23,2,2,5300
42,phuong pham ngu lao,28,4,5,5300
31,phuong pham ngu lao,27,3,3,5300
23,phuong cau kho,24,1,1,5400
31,phuong cau kho,22,2,2,5400
20,phuong cau ong lanh,17,1,1,5400
32,phuong nguyen cu trinh,17,1,1,5400
4,phuong ben nghe,40,3,3,5500
23,phuong cau kho,36,1,1,5500
21,phuong cau ong lanh,26,1,1,5500
80,phuong nguyen cu trinh,30,1,1,5500
15,phuong pham ngu lao,32,6,6,5500
37,phuong tan dinh,106,2,2,5500
89,phuong tan dinh,16,3,2,5500
42,phuong tan dinh,48,8,8,5500
58,phuong tan dinh,53,2,2,5500
82,phuong nguyen cu trinh,26,1,1,5600
6,phuong nguyen cu trinh,55,2,2,5680
21,phuong cau kho,29,1,1,5700
21,phuong cau ong lanh,26,1,1,5700
36,phuong nguyen cu trinh,43,2,2,5700
31,phuong cau kho,24,3,2,5800
25,phuong pham ngu lao,28,3,3,5800
82,phuong nguyen cu trinh,36,1,1,5850
23,phuong cau kho,21,1,1,6000
22,phuong cau kho,33,1,1,6000
21,phuong cau ong lanh,22,1,1,6000
39,phuong co giang,24,1,1,6000
69,phuong co giang,30,3,5,6000
41,phuong co giang,21,1,1,6000
40,phuong co giang,27,1,1,6000
83,phuong nguyen cu trinh,25,1,1,6000
80,phuong nguyen cu trinh,34,1,1,6000
81,phuong nguyen cu trinh,29,1,1,6000
70,phuong pham ngu lao,40,4,5,6000
22,phuong pham ngu lao,37,4,4,6199
20,phuong cau kho,28,1,1,6200
78,phuong nguyen cu trinh,34,1,1,6200
79,phuong nguyen cu trinh,37,1,1,6300
64,phuong pham ngu lao,33,4,3,6300
59,phuong co giang,30,3,3,6400
23,phuong cau kho,28,1,1,6500
21,phuong cau kho,30,1,1,6500
22,phuong cau kho,24,1,1,6500
60,phuong co giang,41,6,6,6500
40,phuong co giang,41,1,1,6500
39,phuong co giang,61,1,1,6500
40,phuong co giang,28,1,1,6500
78,phuong nguyen cu trinh,57,1,1,6500
28,phuong pham ngu lao,29,3,3,6500
21,phuong pham ngu lao,34,7,4,6500
9,phuong pham ngu lao,27,3,3,6500
9,phuong pham ngu lao,24,4,4,6500
36,phuong cau kho,30,3,5,6550
20,phuong cau kho,22,1,1,6600
20,phuong cau ong lanh,25,1,1,6700
64,phuong da kao,48,1,1,6700
81,phuong nguyen cu trinh,28,1,1,6700
42,phuong nguyen cu trinh,64,5,5,6700
33,phuong nguyen cu trinh,24,1,1,6700
69,phuong co giang,48,5,5,6800
33,phuong nguyen cu trinh,52,1,1,6800
34,phuong nguyen cu trinh,29,1,1,6800
83,phuong nguyen cu trinh,26,1,1,6800
20,phuong cau kho,27,1,1,6900
4,phuong cau kho,119,3,4,6900
4,phuong nguyen thai binh,35,6,6,6900
93,phuong ben nghe,120,5,2,7000
29,phuong co giang,40,5,5,7000
30,phuong da kao,39,4,4,7000
48,phuong da kao,40,4,4,7000
83,phuong nguyen cu trinh,23,1,1,7000
79,phuong nguyen cu trinh,32,1,1,7000
23,phuong pham ngu lao,54,3,3,7000
59,phuong tan dinh,27,6,6,7000
55,phuong tan dinh,40,2,2,7000
39,phuong cau kho,33,2,2,7100
100,phuong pham ngu lao,21,10,1,7100
74,phuong tan dinh,80,2,3,7120
20,phuong cau kho,28,1,1,7200
25,phuong cau ong lanh,48,2,1,7200
7,phuong cau kho,21,1,1,7300
10,phuong cau ong lanh,19,4,4,7300
40,phuong co giang,35,1,1,7300
23,phuong pham ngu lao,55,3,2,7300
7,phuong ben thanh,120,5,9,7380
20,phuong cau ong lanh,20,1,1,7400
20,phuong cau kho,32,1,1,7430
21,phuong cau kho,31,1,1,7430
4,phuong cau kho,38,1,1,7500
21,phuong cau kho,26,1,1,7500
19,phuong cau kho,31,1,1,7500
29,phuong cau ong lanh,38,1,1,7500
23,phuong nguyen cu trinh,32,3,3,7500
79,phuong nguyen cu trinh,32,1,1,7500
33,phuong nguyen cu trinh,28,1,1,7500
49,phuong tan dinh,25,4,4,7500
64,phuong tan dinh,27,3,3,7500
60,phuong co giang,56,1,1,7600
64,phuong da kao,25,4,4,7700
20,phuong cau kho,25,1,1,7800
8,phuong cau kho,30,1,1,7800
19,phuong pham ngu lao,45,6,6,7800
19,phuong cau kho,33,4,3,7900
92,phuong da kao,75,4,4,7900
78,phuong nguyen cu trinh,32,1,1,7900
81,phuong nguyen cu trinh,35,1,1,7950
22,phuong cau kho,40,1,1,8000
22,phuong cau kho,32,1,1,8000
19,phuong cau kho,27,1,1,8000
9,phuong cau kho,30,4,4,8000
7,phuong cau kho,34,1,1,8000
20,phuong cau ong lanh,41,1,1,8000
21,phuong cau ong lanh,41,1,1,8000
41,phuong co giang,26,1,1,8000
24,phuong da kao,37,3,3,8000
45,phuong nguyen cu trinh,554,3,1,8000
80,phuong nguyen cu trinh,28,1,1,8000
38,phuong tan dinh,24,3,3,8000
38,phuong tan dinh,22,3,3,8000
59,phuong tan dinh,50,6,6,8000
56,phuong tan dinh,35,5,5,8000
26,phuong tan dinh,35,3,3,8000
2,phuong nguyen cu trinh,35,2,2,8000
34,phuong cau kho,32,4,5,8200
14,phuong cau kho,84,3,3,8240
69,phuong pham ngu lao,32,5,10,8300
65,phuong tan dinh,50,5,5,8300
72,phuong ben nghe,50,2,2,8380
3,phuong ben nghe,63,6,7,8400
8,phuong ben nghe,22,4,4,8500
39,phuong cau kho,39,4,4,8500
23,phuong cau kho,30,1,1,8500
21,phuong cau kho,25,1,1,8500
37,phuong cau kho,29,4,4,8500
24,phuong co giang,62,7,5,8500
54,phuong co giang,48,4,3,8500
64,phuong da kao,19,6,6,8500
95,phuong nguyen cu trinh,44,4,5,8500
3,phuong nguyen cu trinh,32,2,2,8500
65,phuong tan dinh,47,4,5,8500
61,phuong tan dinh,41,3,3,8500
22,phuong cau kho,36,1,1,8600
40,phuong cau kho,158,10,11,8600
7,phuong co giang,40,4,4,8600
78,phuong nguyen cu trinh,38,1,1,8600
79,phuong tan dinh,22,4,4,8600
49,phuong tan dinh,22,4,4,8600
80,phuong tan dinh,22,4,4,8600
61,phuong tan dinh,22,3,4,8600
3,phuong tan dinh,22,4,4,8600
5,phuong tan dinh,22,4,4,8600
6,phuong tan dinh,22,4,4,8600
6,phuong tan dinh,22,4,4,8600
6,phuong tan dinh,22,4,4,8600
6,phuong tan dinh,22,4,4,8600
6,phuong tan dinh,22,4,4,8600
37,phuong nguyen cu trinh,42,6,5,8688
100,phuong tan dinh,40,2,2,8700
99,phuong tan dinh,40,3,4,8700
15,phuong pham ngu lao,56,2,2,8750
4,phuong cau kho,50,4,4,8800
19,phuong cau kho,37,1,1,8800
97,phuong nguyen cu trinh,53,6,7,8800
20,phuong cau kho,28,1,1,8900
20,phuong cau kho,29,1,1,8900
7,phuong cau kho,32,1,1,8900
39,phuong co giang,34,1,1,8900
60,phuong co giang,65,2,2,8900
48,phuong da kao,18,3,4,8900
83,phuong nguyen cu trinh,32,1,1,8900
61,phuong tan dinh,45,3,3,8900
36,phuong cau kho,60,4,4,9000
20,phuong cau kho,32,1,1,9000
20,phuong cau ong lanh,30,1,1,9000
12,phuong co giang,50,5,5,9000
38,phuong co giang,27,1,1,9000
83,phuong nguyen cu trinh,33,1,1,9000
97,phuong nguyen cu trinh,64,6,7,9000
82,phuong nguyen cu trinh,43,1,1,9000
62,phuong nguyen thai binh,60,8,9,9000
41,phuong tan dinh,42,3,2,9000
4,phuong nguyen thai binh,60,4,4,9000
89,phuong pham ngu lao,60,6,6,9100
19,phuong cau kho,42,5,6,9200
97,phuong nguyen cu trinh,159,6,7,9200
81,phuong nguyen cu trinh,73,1,1,9200
9,phuong tan dinh,25,3,3,9200
5,phuong ben nghe,52,2,2,9500
5,phuong ben nghe,52,2,2,9500
4,phuong ben nghe,32,3,2,9500
1,phuong ben nghe,28,2,2,9500
1,phuong ben nghe,31,1,2,9500
1,phuong ben nghe,30,2,2,9500
21,phuong cau kho,61,1,1,9500
17,phuong cau kho,35,4,3,9500
74,phuong da kao,95,14,15,9500
74,phuong da kao,95,15,16,9500
72,phuong pham ngu lao,49,4,5,9500
74,phuong pham ngu lao,72,10,11,9500
22,phuong cau kho,24,1,1,9600
8,phuong ben thanh,40,1,1,9700
8,phuong cau kho,26,1,1,9900
24,phuong pham ngu lao,56,2,2,9900
92,phuong tan dinh,33,1,1,9900
48,phuong ben nghe,79,3,3,10000
63,phuong ben nghe,71,4,4,10000
30,phuong cau kho,36,4,3,10000
9,phuong cau kho,46,2,2,10000
39,phuong co giang,35,1,1,10000
40,phuong co giang,41,1,1,10000
19,phuong co giang,32,5,3,10000
32,phuong co giang,72,2,2,10000
39,phuong co giang,68,1,1,10000
19,phuong da kao,55,4,3,10000
75,phuong da kao,60,14,16,10000
97,phuong nguyen cu trinh,38,3,4,10000
34,phuong nguyen cu trinh,38,1,1,10000
34,phuong nguyen cu trinh,26,1,1,10000
35,phuong pham ngu lao,55,3,3,10000
34,phuong pham ngu lao,150,4,3,10400
36,phuong cau kho,60,4,4,10500
13,phuong cau kho,42,3,3,10500
52,phuong co giang,64,3,3,10500
53,phuong co giang,66,3,3,10500
60,phuong da kao,50,5,5,10500
74,phuong da kao,90,16,18,10500
34,phuong nguyen cu trinh,50,1,1,10500
58,phuong tan dinh,82,7,7,10500
59,phuong tan dinh,80,6,6,10500
71,phuong tan dinh,72,9,9,10500
71,phuong tan dinh,71,10,10,10600
53,phuong da kao,83,4,4,10700
32,phuong nguyen cu trinh,52,1,1,10700
3,phuong ben nghe,50,4,5,10800
22,phuong ben nghe,80,3,3,11000
10,phuong cau kho,45,3,3,11000
24,phuong co giang,72,2,2,11000
23,phuong co giang,72,2,2,11000
83,phuong nguyen cu trinh,45,1,1,11000
79,phuong nguyen cu trinh,30,1,1,11000
82,phuong nguyen cu trinh,43,1,1,11000
78,phuong nguyen cu trinh,40,1,1,11000
64,phuong pham ngu lao,50,1,1,11000
38,phuong tan dinh,34,4,3,11000
29,phuong tan dinh,80,4,3,11000
7,phuong ben thanh,48,1,1,11000
82,phuong ben nghe,210,4,4,11200
69,phuong pham ngu lao,52,8,9,11200
1,phuong tan dinh,72,1,1,11200
39,phuong tan dinh,126,4,4,11400
36,phuong cau kho,60,4,4,11500
5,phuong cau kho,64,8,6,11500
1,phuong cau kho,28,5,5,11500
35,phuong cau kho,50,4,4,11500
9,phuong co giang,68,2,2,11500
65,phuong da kao,56,1,1,11500
75,phuong da kao,85,16,17,11500
14,phuong nguyen cu trinh,69,2,2,11500
16,phuong nguyen cu trinh,30,4,4,11500
66,phuong pham ngu lao,48,2,3,11500
8,phuong tan dinh,71,2,2,11500
100,phuong tan dinh,100,2,2,11500
72,phuong tan dinh,140,17,18,11500
82,phuong tan dinh,53,4,4,11500
71,phuong tan dinh,140,8,8,11500
59,phuong tan dinh,52,4,3,11500
55,phuong tan dinh,55,5,6,11500
71,phuong tan dinh,45,6,6,11500
38,phuong tan dinh,62,4,4,11700
5,phuong cau kho,60,3,3,11799
73,phuong da kao,80,9,9,11800
14,phuong nguyen cu trinh,54,4,5,11800
57,phuong nguyen thai binh,68,8,9,11800
24,phuong pham ngu lao,56,5,6,11800
34,phuong pham ngu lao,60,5,5,11900
57,phuong tan dinh,100,3,2,11990
68,phuong ben thanh,150,7,7,12000
35,phuong cau kho,30,5,5,12000
44,phuong cau kho,65,4,4,12000
35,phuong cau kho,49,5,4,12000
21,phuong cau kho,35,1,1,12000
35,phuong cau kho,56,6,7,12000
15,phuong cau kho,66,2,2,12000
